day,home,inpatient_ward,intensive_care_unit,death,recovered
3,925,28,14,0,37
4,913,36,10,1,47
5,904,37,13,0,47
6,854,38,11,0,71
7,812,46,15,1,48
8,754,52,15,1,65
9,713,50,16,0,53
10,700,55,18,0,69
11,667,52,17,1,48
12,636,42,21,0,52
13,590,40,25,2,50
14,565,36,29,1,40
15,513,39,33,1,50
16,474,44,31,2,38
17,432,55,28,0,38
18,408,52,31,0,29
19,366,59,26,0,43
20,325,59,26,2,40
21,291,59,28,2,33
22,266,55,29,1,27
23,265,54,24,0,12
24,246,57,25,1,19
25,224,55,26,2,23
26,212,52,25,0,16
27,187,50,22,2,28
0,936,27,15,2,12
1,964,28,18,0,36
2,986,28,19,1,32
3,971,33,18,0,48
4,960,39,16,0,45
5,918,47,16,0,55
6,878,54,15,0,53
7,830,52,18,0,66
8,773,57,17,0,70
9,716,60,17,0,67
10,673,61,17,2,60
11,640,58,23,0,45
12,619,62,22,1,51
13,582,55,23,2,45
14,526,47,30,0,59
15,485,42,32,2,48
16,439,47,30,1,55
17,391,52,31,2,44
18,351,58,26,1,40
19,316,58,25,0,37
20,290,52,25,3,30
21,268,49,27,0,27
22,239,51,26,0,30
23,230,50,26,0,16
24,210,56,23,1,16
25,183,53,28,1,24
26,171,49,28,2,17
27,146,53,27,0,22
0,902,27,13,0,13
1,899,31,12,0,40
2,912,29,15,1,35
3,910,31,15,0,39
4,918,33,16,1,47
5,874,39,15,0,49
6,839,42,15,0,44
7,769,40,19,0,76
8,707,45,18,1,64
9,639,49,16,1,72
10,605,45,17,0,48
11,565,50,18,1,50
12,541,44,24,0,44
13,490,45,22,0,67
14,470,42,20,0,46
15,443,39,18,1,38
16,390,47,16,1,46
17,360,51,19,1,33
18,315,58,19,0,42
19,282,60,14,1,36
20,278,56,17,0,21
21,267,56,16,1,18
22,245,52,15,1,26
23,233,49,20,0,12
24,224,47,22,0,9
25,223,43,21,1,10
26,211,43,22,0,16
27,196,42,22,0,17
0,918,25,13,1,11
1,911,27,10,0,38
2,906,28,8,1,23
3,892,28,9,1,41
4,859,29,10,0,53
5,819,28,11,1,58
6,778,32,14,0,47
7,744,37,12,0,75
8,682,44,13,0,61
9,651,47,15,0,56
10,615,41,15,1,62
11,561,44,15,0,55
12,571,48,15,0,36
13,526,42,18,1,52
14,487,40,22,1,56
15,449,43,20,0,42
16,405,46,19,0,44
17,372,46,21,0,33
18,354,44,22,0,29
19,327,48,20,1,33
20,303,51,19,1,23
21,284,51,18,1,22
22,270,48,19,0,18
23,258,37,25,1,16
24,231,38,22,1,28
25,217,41,19,1,15
26,196,39,24,0,19
27,178,40,24,1,16
0,915,23,16,1,9
1,924,25,15,0,39
